Passio S Christophori,"Paris, BNF, nouv. acq. lat. 1605"
Gospel of Nicodemus,"Paris, BNF, nouv. acq. lat. 1605"
Gospel of Pseudo-Matthew,"Paris, BNF, nouv. acq. lat. 1605"
Transitus of Mary (Ps-Melito),"Paris, BNF, nouv. acq. lat. 1605"
Miracles of the Virgin,"Paris, BNF, nouv. acq. lat. 1605"
"Ps-Augustine, Sermons","Paris, BNF, nouv. acq. lat. 1605"
"Passio SS Sixti, Laurentii, et Hippolyti","Paris, BNF, nouv. acq. lat. 1605"
Passio S Laurenti,"Paris, BNF, nouv. acq. lat. 1605"
"Defensor, Liber Scintillarum","Paris, BNF, nouv. acq. lat. 1605"
Gospel of Pseudo-Matthew,"Vatican, BAV, Pal. lat. 430"
Sermons,"Vatican, BAV, Pal. lat. 430"
Apparitio S Michaelis,"Vatican, BAV, Pal. lat. 430"
Transitus of Mary (Ps-Melito),"Vatican, BAV, Pal. lat. 430"
Gospel of Pseudo-Matthew,"Karlsruhe, Bad. Land., Frag. 94 "