Gospel of Pseudo-Matthew,"Vatican, BAV, Reg. lat. 648"
Infancy Gospel of Thomas,"Vatican, BAV, Reg. lat. 648"
Gospel of Nicodemus,"Vatican, BAV, Reg. lat. 648"
Healing of Tiberius,"Vatican, BAV, Reg. lat. 648"
Nerone pessimo persecutore christianorum,"Vatican, BAV, Reg. lat. 648"
De Domitiano Caesare,"Vatican, BAV, Reg. lat. 648"
"Ephiphanius, Life of the Virgin Mary","Vatican, BAV, Reg. lat. 648"
Letters of Alan of Tewkesbury,CCCC 288
"Isidore, De ecclesiasticis officiis",CCCC 288
"Remigius of Auxerre, Expositio missae",CCCC 288
Gospel of Nicodemus,CCCC 288
Vengeance of the Savior,CCCC 288
Gospel of Pseudo-Matthew,CCCC 288
Infancy Gospel of Thomas,CCCC 288
Post peccatum Adae,CCCC 288
Exempla,CCCC 288
Joseph and Asenath,CCCC 288
"Ps-Methodius, Revelations",CCCC 288
"Hildegard of Bingen, Letter to the Clergy of Cologne",CCCC 288
De Tartaris,CCCC 288
"Frederick II, Letters",CCCC 288
Gravamina Anglorum adversum potestatem papae,CCCC 288
"Glosses on Kings, Tobit, Judith, Esther, Daniel, Maccabees",CCCC 288