"Gregory the Great, Dialogues","Berlin, SB, PK, Theol. lat. qu. 369"
Miracles of the Virgin,"Berlin, SB, PK, Theol. lat. qu. 369"
"Jacobus de Voragine, Golden Legend","Berlin, SB, PK, Theol. lat. qu. 369"
"Innocent III, De sacro altaris mysterio","Berlin, SB, PK, Theol. lat. qu. 369"
"Gilbert, Chronicon pontificum et imperatorum","Berlin, SB, PK, Theol. lat. qu. 369"
Sermons,"Berlin, SB, PK, Theol. lat. qu. 369"
Gospel of Pseudo-Matthew,"Berlin, SB, PK, Theol. lat. qu. 369"
Gospel of Nicodemus,"Berlin, SB, PK, Theol. lat. qu. 369"
Life of Adam & Eve,"Berlin, SB, PK, Theol. lat. qu. 369"
De poenis inferni,"Berlin, SB, PK, Theol. lat. qu. 369"
Sententiae,"Berlin, SB, PK, Theol. lat. qu. 369"
Gospel of Pseudo-Matthew,"Paris, BNF, lat. 5560"