"Jonas Aurelianensis, Epistola ad Waltcaudum Leodiensem","Vienna, ONB, 550"
Passio S Hugberti,"Vienna, ONB, 550"
Passio S Luciae,"Vienna, ONB, 550"
Passio S Anastasiae,"Vienna, ONB, 550"
Passio S Caeciliae,"Vienna, ONB, 550"
Passio S Eugeniae,"Vienna, ONB, 550"
Passio S Euphemiae,"Vienna, ONB, 550"
Gospel of Ps-Matthew,"Vienna, ONB, 550"
Vita S Vedasti,"Vienna, ONB, 550"
"Alcuin, Homelia in die natali S Vedasti","Vienna, ONB, 550"
"Alcuin, Versus duo in abbatem Radonem","Vienna, ONB, 550"
"Alcuin, Hymnus in Vedastum","Vienna, ONB, 550"
"Alcuin, Versus aliquot in S Vedastum","Vienna, ONB, 550"
Passio SS Faustini et Iovitae,"Vienna, ONB, 550"
"Ambrose, Commentarius in epistolam primam Pauli ad Corinthios","Vienna, ONB, 550"
Passio S Christophori,"Vienna, ONB, 550"
Gospel of Ps-Matthew,"Rheims, BM 1395"
Transitus of Mary (Ps-Melito),"Rheims, BM 1395"
"Ambrose Autpert, Sermo de assumptione Mariae","Rheims, BM 1395"
Miraculorum S Dionysii,"Rheims, BM 1395"
Vita S Remigii,"Rheims, BM 1395"
Esther,"Rheims, BM 1395"
Invention of the Cross,"Rheims, BM 1395"
Exaltation of the Cross,"Rheims, BM 1395"
"Gregory of Tours, On the Cross","Rheims, BM 1395"
Invention of the Cross,"Rheims, BM 1395"
Transitus of Mary (Ps-Melito),"Rheims, BM 1395"
"Passio SS Petrus, Paulus, Andrea, et Dyonysia","Rheims, BM 1395"
Passio S Margaretae,"Rheims, BM 1395"
Passio S Marinae,"Rheims, BM 1395"
Vitae B Alcuini,"Rheims, BM 1395"
Passio S Eleutherii,"Rheims, BM 1395"
Vita S Euphrosinae,"Rheims, BM 1395"
"Paulinus of Milan, Vita S Ambrosii","Rheims, BM 1395"
"Passionis SS Secundiani, Marcelliani, et Veriani","Rheims, BM 1395"
Martyrdom of Andrew,"Rheims, BM 1395"
Passio S Agathae,"Rheims, BM 1395"
Passio S Anastasiae,"Rheims, BM 1395"
"Sulpicius Severus, Vita S Martini","Paris, BNF, lat. 5327"
Vita S Bavonis,"Paris, BNF, lat. 5327"
Vita S Gregorii,"Paris, BNF, lat. 5327"
Passio S Caeciliae,"Paris, BNF, lat. 5327"
Vita B Walburgae virginis,"Paris, BNF, lat. 5327"
Gospel of Nicodemus,"Paris, BNF, lat. 5327"
Vengeance of the Savior,"Paris, BNF, lat. 5327"
Gospel of Ps-Matthew,"Paris, BNF, lat. 5327"
Dormition of Mary,"Paris, BNF, lat. 5327"
Invention of the Cross,"Paris, BNF, lat. 5327"
Life of Adam & Eve,"Paris, BNF, lat. 5327"
Vita S Basilii,"Paris, BNF, lat. 5327"
Vita S Eligii,"Paris, BNF, lat. 5327"
Vita S Eligii,"Paris, BNF, lat. 5327"
Martyrdom of John (Ps-Melito),"Paris, BNF, lat. 5327"
De B Ioanne,"Paris, BNF, lat. 5327"
Apparitio S Michaelis,"Paris, BNF, lat. 5327"
Acts of Thomas,"Paris, BNF, lat. 5327"
De S Tarsilla,"Paris, BNF, lat. 5327"
Gospel of Ps-Matthew,"Paris, BNF, lat. 5327"
Exaltation of the Cross,"Paris, BNF, lat. 5327"
Invention of the Cross,"Paris, BNF, lat. 5327"
Martyrdom of Andrew,"Paris, BNF, lat. 5327"
Gospel of Ps-Matthew,"London, BL, Add. 11880"
Passio S Columbae,"London, BL, Add. 11880"
De obitu S Mariae,"London, BL, Add. 11880"
"Passio SS Sixti, Laurenti, et Hippolyti","London, BL, Add. 11880"
"Euticides, Litterae ad Marcellum","London, BL, Add. 11880"
Passio S Donati,"London, BL, Add. 11880"
"Passio SS Nerei, Achilei, et Domitillae","London, BL, Add. 11880"
Passio S Cypriani,"London, BL, Add. 11880"
Passio S Anastasiae,"London, BL, Add. 11880"
Vita S Corbiniani,"London, BL, Add. 11880"
Passio S Mammarii,"London, BL, Add. 11880"
Passio S Christophori,"London, BL, Add. 11880"
Vita S Radegundis,"London, BL, Add. 11880"
Passio S Felicis,"London, BL, Add. 11880"
Passio S Christinae,"London, BL, Add. 11880"
Passio S Caesarii,"London, BL, Add. 11880"
Passio S Albanii,"London, BL, Add. 11880"
"Ps-Ambrose, Passio S Agnetis","London, BL, Add. 11880"
Passio S Agathae,"London, BL, Add. 11880"
Invention of the Cross,"London, BL, Add. 11880"
Passio S Quiriaci,"London, BL, Add. 11880"
Vita S Petronillae,"London, BL, Add. 11880"
Passio SS Sulpicii et Serviliani,"London, BL, Add. 11880"
Revelatione S Stephani protomartyris,"London, BL, Add. 11880"
Passio de septem dormientibus,"London, BL, Add. 11880"
Passio SS Vincentiae et Margaretae,"London, BL, Add. 11880"
Martyrdom of Peter and Paul,"London, BL, Add. 11880"
Passio B Machabeorum,"London, BL, Add. 11880"
Passio S Quintini,"London, BL, Add. 11880"
Passio SS Mauricii,"London, BL, Add. 11880"
Passio S Marinae,"London, BL, Add. 11880"
Passio S Scilitani,"London, BL, Add. 11880"
Gospel of Ps-Matthew,"Budapest, SBN, Clmae 316"
Expositio super missam,"Budapest, SBN, Clmae 316"
"Hrabanus Maurus, De institutione clericorum","Budapest, SBN, Clmae 316"
"Seneca, De beneficiis","Vienna, ONB, 289"
"Hildebert of Tours, Epitaphium Senecae","Vienna, ONB, 289"
De ordine legendorum in ecclesia,"Vienna, ONB, 289"
Actus S Sylvestri,"Vienna, ONB, 289"
Gospel of Ps-Matthew,"Vienna, ONB, 289"
Life of Mary Magdalene,"Vienna, ONB, 289"
Vita S Henrici,"Vienna, ONB, 289"
Translatio S Hermetis Salisburgum,"Vienna, ONB, 289"
Translatio S Martini Turonensis Salisburgum,"Vienna, ONB, 289"
Collectio de tempore et de translatione B Ruodberti,"Vienna, ONB, 289"
"Hildegard of Bingen, Visio","Vienna, ONB, 289"
Waltharius,"Vienna, ONB, 289"
Vita Conradi I,"Vienna, ONB, 289"
Gospel of Ps-Matthew,"Munich, BSB, Clm 19105"
Infancy Gospel of Thomas,"Munich, BSB, Clm 19105"
Nativity of Mary,"Munich, BSB, Clm 19105"
Dormition of Mary,"Munich, BSB, Clm 19105"
Gospel of Nicodemus,"Munich, BSB, Clm 19105"
Passio de septem dormientibus,"Munich, BSB, Clm 19105"
Passio S Christophori,"Paris, BNF, nouv. acq. lat. 1605"
Gospel of Nicodemus,"Paris, BNF, nouv. acq. lat. 1605"
Gospel of Ps-Matthew,"Paris, BNF, nouv. acq. lat. 1605"
Transitus of Mary (Ps-Melito),"Paris, BNF, nouv. acq. lat. 1605"
Miracles of the Virgin,"Paris, BNF, nouv. acq. lat. 1605"
"Ps-Augustine, Sermons","Paris, BNF, nouv. acq. lat. 1605"
"Passio SS Sixti, Laurentii, et Hippolyti","Paris, BNF, nouv. acq. lat. 1605"
Passio S Laurenti,"Paris, BNF, nouv. acq. lat. 1605"
"Defensor, Liber Scintillarum","Paris, BNF, nouv. acq. lat. 1605"
Gospel of Ps-Matthew,"Vatican, BAV, Pal. lat. 430"
Sermons,"Vatican, BAV, Pal. lat. 430"
Apparitio S Michaelis,"Vatican, BAV, Pal. lat. 430"
Transitus of Mary (Ps-Melito),"Vatican, BAV, Pal. lat. 430"
Gospel of Ps-Matthew,"Karlsruhe, Bad. Land., Frag. 94 "
Gospel of Ps-Matthew,"Vatican, BAV, Reg. lat. 648"
Infancy Gospel of Thomas,"Vatican, BAV, Reg. lat. 648"
Gospel of Nicodemus,"Vatican, BAV, Reg. lat. 648"
Healing of Tiberius,"Vatican, BAV, Reg. lat. 648"
Nerone pessimo persecutore christianorum,"Vatican, BAV, Reg. lat. 648"
De Domitiano Caesare,"Vatican, BAV, Reg. lat. 648"
"Ephiphanius, Life of the Virgin Mary","Vatican, BAV, Reg. lat. 648"
Letters of Alan of Tewkesbury,CCCC 288
"Isidore, De ecclesiasticis officiis",CCCC 288
"Remigius of Auxerre, Expositio missae",CCCC 288
Gospel of Nicodemus,CCCC 288
Vengeance of the Savior,CCCC 288
Gospel of Ps-Matthew,CCCC 288
Infancy Gospel of Thomas,CCCC 288
Post peccatum Adae,CCCC 288
Exempla,CCCC 288
Joseph and Asenath,CCCC 288
"Ps-Methodius, Revelations",CCCC 288
"Hildegard of Bingen, Letter to the Clergy of Cologne",CCCC 288
De Tartaris,CCCC 288
"Frederick II, Letters",CCCC 288
Gravamina Anglorum adversum potestatem papae,CCCC 288
"Glosses on Kings, Tobit, Judith, Esther, Daniel, Maccabees",CCCC 288
"Gregory the Great, Dialogues","Berlin, SB, PK, Theol. lat. qu. 369"
Miracles of the Virgin,"Berlin, SB, PK, Theol. lat. qu. 369"
"Jacobus de Voragine, Golden Legend","Berlin, SB, PK, Theol. lat. qu. 369"
"Innocent III, De sacro altaris mysterio","Berlin, SB, PK, Theol. lat. qu. 369"
"Gilbert, Chronicon pontificum et imperatorum","Berlin, SB, PK, Theol. lat. qu. 369"
Sermons,"Berlin, SB, PK, Theol. lat. qu. 369"
Gospel of Ps-Matthew,"Berlin, SB, PK, Theol. lat. qu. 369"
Gospel of Nicodemus,"Berlin, SB, PK, Theol. lat. qu. 369"
Life of Adam & Eve,"Berlin, SB, PK, Theol. lat. qu. 369"
De poenis inferni,"Berlin, SB, PK, Theol. lat. qu. 369"
Sententiae,"Berlin, SB, PK, Theol. lat. qu. 369"
Gospel of Ps-Matthew,"Paris, BNF, lat. 5560"
Martyrdom of Peter and Paul,"Montpellier, Bib. Fac. Med. 55"
Martyrdom of Andrew,"Montpellier, Bib. Fac. Med. 55"
Martyrdom of James the Less,"Montpellier, Bib. Fac. Med. 55"
Martyrdom of John (Ps-Melito),"Montpellier, Bib. Fac. Med. 55"
Martyrdom of James the Great,"Montpellier, Bib. Fac. Med. 55"
Martyrdom of Thomas,"Montpellier, Bib. Fac. Med. 55"
Martyrdom of Bartholomew,"Montpellier, Bib. Fac. Med. 55"
Martyrdom of Matthew,"Montpellier, Bib. Fac. Med. 55"
Martyrdom of Simon and Jude,"Montpellier, Bib. Fac. Med. 55"
Martyrdom of Philip,"Montpellier, Bib. Fac. Med. 55"
Passio S Quintini,"Montpellier, Bib. Fac. Med. 55"
Vita S Vedasti,"Montpellier, Bib. Fac. Med. 55"
Passio S Dionysii,"Montpellier, Bib. Fac. Med. 55"
Vita B Remigii,"Montpellier, Bib. Fac. Med. 55"
Vita S Paterni,"Montpellier, Bib. Fac. Med. 55"
Vita S Clementis,"Montpellier, Bib. Fac. Med. 55"
Vita S Silvestri,"Montpellier, Bib. Fac. Med. 55"
Passio S Agathae,"Montpellier, Bib. Fac. Med. 55"
Passio S Luciae,"Montpellier, Bib. Fac. Med. 55"
Passio S Ensemiae,"Montpellier, Bib. Fac. Med. 55"
Passio SS Chrisantii et Dariae,"Montpellier, Bib. Fac. Med. 55"
Vita S Gertrudis,"Montpellier, Bib. Fac. Med. 55"
Vita B Audoini,"Montpellier, Bib. Fac. Med. 55"
Gospel of Ps-Matthew,"Montpellier, Bib. Fac. Med. 55"
Transitus of Mary (Ps-Melito),"Montpellier, Bib. Fac. Med. 55"
Passio S Iuliae,"Montpellier, Bib. Fac. Med. 55"
Vita S Melani,"Montpellier, Bib. Fac. Med. 55"
Vita S Euphraxiae,"Montpellier, Bib. Fac. Med. 55"
Acts of Paul & Thecla,"Montpellier, Bib. Fac. Med. 55"
Passio S Marinae,"Montpellier, Bib. Fac. Med. 55"
Passio S Euphemiae,"Montpellier, Bib. Fac. Med. 55"
Passio B Caeciliae,"Montpellier, Bib. Fac. Med. 55"
Passio SS Valeriani et Tiburtii,"Montpellier, Bib. Fac. Med. 55"
Passio S Afrae,"Montpellier, Bib. Fac. Med. 55"
Vita S Euphrosinae,"Montpellier, Bib. Fac. Med. 55"
Passio S Eugeniae,"Montpellier, Bib. Fac. Med. 55"
Passio S Columbae,"Montpellier, Bib. Fac. Med. 55"
"Passio SS Fructuosi episcopi, Augurii, et Euloci diaconorum","Montpellier, Bib. Fac. Med. 55"
Passio S Patrocli,"Montpellier, Bib. Fac. Med. 55"
"Passio S Speosippi, Eleosippi, et Meleusippi","Montpellier, Bib. Fac. Med. 55"
Martyrum S Babillae,"Montpellier, Bib. Fac. Med. 55"
Passio S Sabinae,"Montpellier, Bib. Fac. Med. 55"
Passio S Paulae,"Montpellier, Bib. Fac. Med. 55"
Protevangelium of James,"Montpellier, Bib. Fac. Med. 55"
Passio S Dorotheae et Tiopholi,"Montpellier, Bib. Fac. Med. 55"
Passio S Iulianae,"Montpellier, Bib. Fac. Med. 55"
Passio S Marcelli,"Montpellier, Bib. Fac. Med. 55"
Passio S Privati,"Montpellier, Bib. Fac. Med. 55"
Passio S Vincentii,"Montpellier, Bib. Fac. Med. 55"
Passio S Marcelli,"Montpellier, Bib. Fac. Med. 55"
Passio S Ferreoli,"Montpellier, Bib. Fac. Med. 55"
Passio S Christophori,"Montpellier, Bib. Fac. Med. 55"
Passio SS Luceiae et Euiadae regis,"Montpellier, Bib. Fac. Med. 55"
Passio SS Eleutheri et Anthiae,"Montpellier, Bib. Fac. Med. 55"
"Martyrium SS Romani, Hisici, et Bafalei Barulae","Montpellier, Bib. Fac. Med. 55"
Passio S Benigni,"Montpellier, Bib. Fac. Med. 55"
Passio S Adriani,"Montpellier, Bib. Fac. Med. 55"
Passio S Memorii,"Montpellier, Bib. Fac. Med. 55"
"Passio SS Andochii, Tyrsi, et Felicis","Montpellier, Bib. Fac. Med. 55"